"","X","states","SC_population","crime_reported","year","percent_change","crime_rate","party","totalpopulation","sc_percent","murder","murder_rate"
"1",1,"Andhra Pradesh",138.78,4504,2009,NA,32.4542441274,"u",846.65533,16.3915580617676,2449,2.89255841571327
"2",2,"Andhra Pradesh",138.78,4321,2010,-4.0630550622,31.1356103185,"u",846.65533,16.3915580617676,2538,2.99767793347501
"3",3,"Andhra Pradesh",138.78,4016,2011,-7.0585512613,28.9378873036,"u",846.65533,16.3915580617676,2808,3.3165798412915
"4",4,"Andhra Pradesh",138.78,3057,2012,-23.8794820717,22.027669693,"u",846.65533,16.3915580617676,2717,3.20909808717557
"5",5,"Andhra Pradesh",138.78,3270,2013,6.9676153091,23.5624729788,"u",846.65533,16.3915580617676,2484,2.93389755191171
"6",6,"Andhra Pradesh",138.78,3540,2014,8.2568807339,25.5079982706,"n",846.65533,16.3915580617676,2483,2.93271643373461
"7",7,"Andhra Pradesh",138.78,3556,2015,0.4519774011,25.6232886583,"n",846.65533,16.3915580617676,2287,2.70121727102338
"8",8,"Andhra Pradesh",138.78,3864,2016,8.6614173228,27.8426286208,"n",846.65533,16.3915580617676,2169,2.5618453261258
"9",9,"Arunachal Pradesh",0,0,2009,NA,NA,"u",13.82611,0,59,4.2672884853368
"10",10,"Arunachal Pradesh",0,0,2010,NA,NA,"u",13.82611,0,75,5.42451926102136
"11",11,"Arunachal Pradesh",0,0,2011,NA,NA,"u",13.82611,0,65,4.70125002621851
"12",12,"Arunachal Pradesh",0,0,2012,NA,NA,"u",13.82611,0,73,5.27986541406079
"13",13,"Arunachal Pradesh",0,0,2013,NA,NA,"u",13.82611,0,69,4.99055772013965
"14",14,"Arunachal Pradesh",0,0,2014,NA,NA,"u",13.82611,0,86,6.22011541930449
"15",15,"Arunachal Pradesh",0,0,2015,NA,NA,"u",13.82611,0,57,4.12263463837623
"16",16,"Arunachal Pradesh",0,0,2016,NA,NA,"u",13.82611,0,46,3.3270384800931
"17",17,"Assam",22.31,0,2009,NA,0,"u",311.69272,7.15769043306497,1323,4.24456496770281
"18",18,"Assam",22.31,7,2010,Inf,0.3137606455,"u",311.69272,7.15769043306497,1223,3.92373617195807
"19",19,"Assam",22.31,0,2011,-100,0,"u",311.69272,7.15769043306497,1303,4.18039920855386
"20",20,"Assam",22.31,4,2012,Inf,0.1792917974,"u",311.69272,7.15769043306497,1368,4.38893792578794
"21",21,"Assam",22.31,8,2013,100,0.3585835948,"u",311.69272,7.15769043306497,1354,4.34402189438367
"22",22,"Assam",22.31,2,2014,-75,0.0896458987,"u",311.69272,7.15769043306497,1451,4.65522582625606
"23",23,"Assam",22.31,5,2015,150,0.2241147468,"u",311.69272,7.15769043306497,1343,4.30873072685175
"24",24,"Assam",22.31,4,2016,-20,0.1792917974,"n",311.69272,7.15769043306497,1149,3.68632286310697
"25",25,"Bihar",165.67,3836,2009,NA,23.1544636929,"n",1038.04637,15.9597880006073,3152,3.03647321650959
"26",26,"Bihar",165.67,3516,2010,-8.3420229406,21.2229130199,"n",1038.04637,15.9597880006073,3362,3.23877631786333
"27",27,"Bihar",165.67,3623,2011,3.0432309443,21.8687752762,"n",1038.04637,15.9597880006073,3198,3.08078722918707
"28",28,"Bihar",165.67,4821,2012,33.066519459,29.1000181083,"n",1038.04637,15.9597880006073,3566,3.43529933060697
"29",29,"Bihar",165.67,6721,2013,39.4109105995,40.5686002294,"n",1038.04637,15.9597880006073,3441,3.31488081789641
"30",30,"Bihar",165.67,7886,2014,17.3337300997,47.6006518984,"u",1038.04637,15.9597880006073,3403,3.2782735900324
"31",31,"Bihar",165.67,6367,2015,-19.2619832615,38.4318222973,"u",1038.04637,15.9597880006073,3178,3.06152026715338
"32",32,"Bihar",165.67,5701,2016,-10.4601853306,34.4117824591,"n",1038.04637,15.9597880006073,2581,2.48640145044773
"33",33,"Chhattisgarh",32.74,466,2009,NA,14.2333536958,"n",255.40196,12.8190089065879,1083,4.2403746627473
"34",34,"Chhattisgarh",32.74,340,2010,-27.0386266094,10.384850336,"n",255.40196,12.8190089065879,1065,4.16989752153821
"35",35,"Chhattisgarh",32.74,253,2011,-25.5882352941,7.7275503971,"n",255.40196,12.8190089065879,1110,4.34609037456095
"36",36,"Chhattisgarh",32.74,262,2012,3.557312253,8.0024434942,"n",255.40196,12.8190089065879,998,3.90756594037101
"37",37,"Chhattisgarh",32.74,242,2013,-7.6335877863,7.391569945,"n",255.40196,12.8190089065879,945,3.70004991347756
"38",38,"Chhattisgarh",32.74,359,2014,48.347107438,10.9651802077,"n",255.40196,12.8190089065879,998,3.90756594037101
"39",39,"Chhattisgarh",32.74,216,2015,-39.8328690808,6.5974343311,"n",255.40196,12.8190089065879,929,3.63740356573614
"40",40,"Chhattisgarh",32.74,243,2016,12.5,7.4221136225,"n",255.40196,12.8190089065879,957,3.74703467428363
"41",41,"Goa",0.25,3,2009,NA,12,"n",14.57723,1.71500346773701,53,3.63580735160246
"42",42,"Goa",0.25,1,2010,-66.6666666667,4,"n",14.57723,1.71500346773701,35,2.40100485483182
"43",43,"Goa",0.25,4,2011,300,16,"n",14.57723,1.71500346773701,48,3.29280665805506
"44",44,"Goa",0.25,10,2012,150,40,"n",14.57723,1.71500346773701,45,3.08700624192662
"45",45,"Goa",0.25,12,2013,20,48,"n",14.57723,1.71500346773701,36,2.4696049935413
"46",46,"Goa",0.25,13,2014,8.3333333333,52,"n",14.57723,1.71500346773701,34,2.33240471612234
"47",47,"Goa",0.25,13,2015,0,52,"n",14.57723,1.71500346773701,31,2.12660429999389
"48",48,"Goa",0.25,11,2016,-15.3846153846,44,"n",14.57723,1.71500346773701,30,2.05800416128441
"49",49,"Gujarat",40.74,1182,2009,NA,29.0132547865,"n",603.83628,6.7468619142924,1020,1.68919959562549
"50",50,"Gujarat",40.74,1008,2010,-14.7208121827,24.7422680412,"n",603.83628,6.7468619142924,1048,1.73556978060344
"51",51,"Gujarat",40.74,1063,2011,5.4563492063,26.0922925871,"n",603.83628,6.7468619142924,1126,1.86474386732775
"52",52,"Gujarat",40.74,1028,2012,-3.2925682032,25.2331860579,"n",603.83628,6.7468619142924,1126,1.86474386732775
"53",53,"Gujarat",40.74,1190,2013,15.7587548638,29.2096219931,"n",603.83628,6.7468619142924,1118,1.85149524304833
"54",54,"Gujarat",40.74,1094,2014,-8.0672268908,26.853215513,"n",603.83628,6.7468619142924,1124,1.86143171125789
"55",55,"Gujarat",40.74,1010,2015,-7.6782449726,24.7913598429,"n",603.83628,6.7468619142924,1150,1.90448974016599
"56",56,"Gujarat",40.74,1322,2016,30.8910891089,32.4496809033,"n",603.83628,6.7468619142924,1120,1.85480739911818
"57",57,"Haryana",51.14,303,2009,NA,5.9249120063,"u",253.53081,20.1711184530196,948,3.73919051495161
"58",58,"Haryana",51.14,380,2010,25.4125412541,7.4305827141,"u",253.53081,20.1711184530196,1005,3.96401526110377
"59",59,"Haryana",51.14,408,2011,7.3684210526,7.9780993352,"u",253.53081,20.1711184530196,1062,4.18884000725592
"60",60,"Haryana",51.14,252,2012,-38.2352941176,4.9276495894,"u",253.53081,20.1711184530196,991,3.90879514801377
"61",61,"Haryana",51.14,493,2013,95.6349206349,9.6402033633,"u",253.53081,20.1711184530196,982,3.87329650388448
"62",62,"Haryana",51.14,475,2014,-3.6511156187,9.2882283926,"u",253.53081,20.1711184530196,1106,4.36238893411022
"63",63,"Haryana",51.14,510,2015,7.3684210526,9.9726241689,"n",253.53081,20.1711184530196,1002,3.95218237972734
"64",64,"Haryana",51.14,639,2016,25.2941176471,12.4951114587,"n",253.53081,20.1711184530196,1057,4.16911853829521
"65",65,"Himachal Pradesh",17.29,88,2009,NA,5.0896471949,"n",68.56509,25.216914321851,125,1.82308518810374
"66",66,"Himachal Pradesh",17.29,101,2010,14.7727272727,5.8415268942,"n",68.56509,25.216914321851,132,1.92517795863755
"67",67,"Himachal Pradesh",17.29,94,2011,-6.9306930693,5.4366685946,"n",68.56509,25.216914321851,130,1.89600859562789
