"","states","SC_population","crime_reported","year","percent_change","crime_rate"
"1","Andhra Pradesh",138.78,4504,"2009",NA,32.4542441273959
"2","Andhra Pradesh",138.78,4321,"2010",-4.06305506216696,31.1356103184897
"3","Andhra Pradesh",138.78,4016,"2011",-7.05855126128211,28.9378873036461
"4","Andhra Pradesh",138.78,3057,"2012",-23.8794820717131,22.0276696930393
"5","Andhra Pradesh",138.78,3270,"2013",6.96761530912659,23.5624729788154
"6","Andhra Pradesh",138.78,3540,"2014",8.25688073394496,25.5079982706442
"7","Andhra Pradesh",138.78,3556,"2015",0.451977401129944,25.6232886583081
"8","Andhra Pradesh",138.78,3864,"2016",8.66141732283465,27.8426286208387
"9","Arunachal Pradesh",0,0,"2009",NA,NA
"10","Arunachal Pradesh",0,0,"2010",NA,NA
"11","Arunachal Pradesh",0,0,"2011",NA,NA
"12","Arunachal Pradesh",0,0,"2012",NA,NA
"13","Arunachal Pradesh",0,0,"2013",NA,NA
"14","Arunachal Pradesh",0,0,"2014",NA,NA
"15","Arunachal Pradesh",0,0,"2015",NA,NA
"16","Arunachal Pradesh",0,0,"2016",NA,NA
"17","Assam",22.31,0,"2009",NA,0
"18","Assam",22.31,7,"2010",Inf,0.313760645450471
"19","Assam",22.31,0,"2011",-100,0
"20","Assam",22.31,4,"2012",Inf,0.179291797400269
"21","Assam",22.31,8,"2013",100,0.358583594800538
"22","Assam",22.31,2,"2014",-75,0.0896458987001345
"23","Assam",22.31,5,"2015",150,0.224114746750336
"24","Assam",22.31,4,"2016",-20,0.179291797400269
"25","Bihar",165.67,3836,"2009",NA,23.1544636928834
"26","Bihar",165.67,3516,"2010",-8.34202294056309,21.2229130198588
"27","Bihar",165.67,3623,"2011",3.04323094425484,21.8687752761514
"28","Bihar",165.67,4821,"2012",33.0665194590119,29.1000181082876
"29","Bihar",165.67,6721,"2013",39.4109105994607,40.5686002293716
"30","Bihar",165.67,7886,"2014",17.3337300996875,47.6006518983521
"31","Bihar",165.67,6367,"2015",-19.261983261476,38.4318222973381
"32","Bihar",165.67,5701,"2016",-10.460185330611,34.4117824591055
"33","Chhattisgarh",32.74,466,"2009",NA,14.233353695785
"34","Chhattisgarh",32.74,340,"2010",-27.0386266094421,10.3848503359805
"35","Chhattisgarh",32.74,253,"2011",-25.5882352941176,7.72755039706781
"36","Chhattisgarh",32.74,262,"2012",3.55731225296443,8.0024434941967
"37","Chhattisgarh",32.74,242,"2013",-7.63358778625954,7.39156994502138
"38","Chhattisgarh",32.74,359,"2014",48.3471074380165,10.965180207697
"39","Chhattisgarh",32.74,216,"2015",-39.8328690807799,6.59743433109346
"40","Chhattisgarh",32.74,243,"2016",12.5,7.42211362248015
"41","Goa",0.25,3,"2009",NA,12
"42","Goa",0.25,1,"2010",-66.6666666666667,4
"43","Goa",0.25,4,"2011",300,16
"44","Goa",0.25,10,"2012",150,40
"45","Goa",0.25,12,"2013",20,48
"46","Goa",0.25,13,"2014",8.33333333333333,52
"47","Goa",0.25,13,"2015",0,52
"48","Goa",0.25,11,"2016",-15.3846153846154,44
"49","Gujarat",40.74,1182,"2009",NA,29.0132547864507
"50","Gujarat",40.74,1008,"2010",-14.7208121827411,24.7422680412371
"51","Gujarat",40.74,1063,"2011",5.45634920634921,26.0922925871379
"52","Gujarat",40.74,1028,"2012",-3.29256820319849,25.2331860579283
"53","Gujarat",40.74,1190,"2013",15.7587548638132,29.2096219931271
"54","Gujarat",40.74,1094,"2014",-8.0672268907563,26.8532155130093
"55","Gujarat",40.74,1010,"2015",-7.6782449725777,24.7913598429062
"56","Gujarat",40.74,1322,"2016",30.8910891089109,32.4496809032891
"57","Haryana",51.14,303,"2009",NA,5.92491200625733
"58","Haryana",51.14,380,"2010",25.4125412541254,7.43058271411811
"59","Haryana",51.14,408,"2011",7.36842105263158,7.97809933515839
"60","Haryana",51.14,252,"2012",-38.2352941176471,4.92764958936253
"61","Haryana",51.14,493,"2013",95.6349206349206,9.64020336331639
"62","Haryana",51.14,475,"2014",-3.65111561866126,9.28822839264763
"63","Haryana",51.14,510,"2015",7.36842105263158,9.97262416894799
"64","Haryana",51.14,639,"2016",25.2941176470588,12.4951114587407
"65","Himachal Pradesh",17.29,88,"2009",NA,5.08964719491035
"66","Himachal Pradesh",17.29,101,"2010",14.7727272727273,5.84152689415847
"67","Himachal Pradesh",17.29,94,"2011",-6.93069306930693,5.43666859456333
"68","Himachal Pradesh",17.29,129,"2012",37.2340425531915,7.46096009253904
"69","Himachal Pradesh",17.29,148,"2013",14.7286821705426,8.55986119144014
"70","Himachal Pradesh",17.29,119,"2014",-19.5945945945946,6.88259109311741
"71","Himachal Pradesh",17.29,94,"2015",-21.0084033613445,5.43666859456333
"72","Himachal Pradesh",17.29,116,"2016",23.4042553191489,6.70908039329092
"73","Jammu & Kashmir",9.25,1,"2009",NA,0.108108108108108
"74","Jammu & Kashmir",9.25,1,"2010",0,0.108108108108108
"75","Jammu & Kashmir",9.25,1,"2011",0,0.108108108108108
"76","Jammu & Kashmir",9.25,2,"2012",100,0.216216216216216
"77","Jammu & Kashmir",9.25,0,"2013",-100,0
"78","Jammu & Kashmir",9.25,0,"2014",NA,0
"79","Jammu & Kashmir",9.25,0,"2015",NA,0
"80","Jammu & Kashmir",9.25,1,"2016",Inf,0.108108108108108
"81","Jharkhand",39.86,631,"2009",NA,15.8304064224787
"82","Jharkhand",39.86,577,"2010",-8.55784469096672,14.4756648268941
"83","Jharkhand",39.86,636,"2011",10.2253032928943,15.9558454591069
"84","Jharkhand",39.86,696,"2012",9.43396226415094,17.4611138986453
"85","Jharkhand",39.86,978,"2013",40.5172413793103,24.5358755644757
"86","Jharkhand",39.86,903,"2014",-7.66871165644172,22.6542900150527
"87","Jharkhand",39.86,736,"2015",-18.4939091915836,18.4646261916708
"88","Jharkhand",39.86,525,"2016",-28.6684782608696,13.1710988459609
"89","Karnataka",104.75,2174,"2009",NA,20.7541766109785
"90","Karnataka",104.75,2505,"2010",15.2253909843606,23.9140811455847
"91","Karnataka",104.75,2481,"2011",-0.958083832335329,23.6849642004773
"92","Karnataka",104.75,2605,"2012",4.99798468359532,24.8687350835322
"93","Karnataka",104.75,2566,"2013",-1.49712092130518,24.4964200477327
"94","Karnataka",104.75,1865,"2014",-27.3187840997662,17.8042959427208
"95","Karnataka",104.75,1852,"2015",-0.697050938337802,17.6801909307876
"96","Karnataka",104.75,1869,"2016",0.91792656587473,17.8424821002387
"97","Kerala",30.4,467,"2009",NA,15.3618421052632
"98","Kerala",30.4,583,"2010",24.8394004282655,19.1776315789474
"99","Kerala",30.4,761,"2011",30.5317324185249,25.0328947368421
"100","Kerala",30.4,810,"2012",6.4388961892247,26.6447368421053
"101","Kerala",30.4,756,"2013",-6.66666666666667,24.8684210526316
"102","Kerala",30.4,712,"2014",-5.82010582010582,23.4210526315789
"103","Kerala",30.4,696,"2015",-2.24719101123596,22.8947368421053
"104","Kerala",30.4,810,"2016",16.3793103448276,26.6447368421053
"105","Madhya Pradesh",113.42,3040,"2009",NA,26.803032974784
"106","Madhya Pradesh",113.42,3374,"2010",10.9868421052632,29.7478398871451
"107","Madhya Pradesh",113.42,3245,"2011",-3.82335506816835,28.6104743431494
"108","Madhya Pradesh",113.42,2875,"2012",-11.402157164869,25.3482630929289
"109","Madhya Pradesh",113.42,2945,"2013",2.43478260869565,25.965438194322
"110","Madhya Pradesh",113.42,3294,"2014",11.8505942275042,29.0424969141245
"111","Madhya Pradesh",113.42,3546,"2015",7.65027322404372,31.2643272791395
"112","Madhya Pradesh",113.42,4922,"2016",38.8042865200226,43.3962264150943
"113","Maharashtra",132.76,1096,"2009",NA,8.25549864416993
"114","Maharashtra",132.76,1132,"2010",3.28467153284672,8.52666465802953
"115","Maharashtra",132.76,1143,"2011",0.971731448763251,8.60952094004218
"116","Maharashtra",132.76,1091,"2012",-4.54943132108486,8.21783669780054
"117","Maharashtra",132.76,1678,"2013",53.8038496791934,12.6393492015667
"118","Maharashtra",132.76,1768,"2014",5.36352800953516,13.3172642362157
"119","Maharashtra",132.76,1804,"2015",2.03619909502262,13.5884302500753
"120","Maharashtra",132.76,1750,"2016",-2.99334811529933,13.1816812292859
"121","Manipur",0.97,0,"2009",NA,0
"122","Manipur",0.97,0,"2010",NA,0
"123","Manipur",0.97,0,"2011",NA,0
"124","Manipur",0.97,0,"2012",NA,0
"125","Manipur",0.97,1,"2013",Inf,1.03092783505155
"126","Manipur",0.97,1,"2014",0,1.03092783505155
"127","Manipur",0.97,0,"2015",-100,0
"128","Manipur",0.97,2,"2016",Inf,2.06185567010309
"129","Meghalaya",0.17,0,"2009",NA,0
"130","Meghalaya",0.17,0,"2010",NA,0
"131","Meghalaya",0.17,0,"2011",NA,0
"132","Meghalaya",0.17,0,"2012",NA,0
"133","Meghalaya",0.17,0,"2013",NA,0
"134","Meghalaya",0.17,0,"2014",NA,0
"135","Meghalaya",0.17,0,"2015",NA,0
"136","Meghalaya",0.17,0,"2016",NA,0
"137","Mizoram",0.01,0,"2009",NA,0
"138","Mizoram",0.01,0,"2010",NA,0
"139","Mizoram",0.01,0,"2011",NA,0
"140","Mizoram",0.01,0,"2012",NA,0
"141","Mizoram",0.01,0,"2013",NA,0
"142","Mizoram",0.01,0,"2014",NA,0
"143","Mizoram",0.01,0,"2015",NA,0
"144","Mizoram",0.01,0,"2016",NA,0
"145","Nagaland",0,0,"2009",NA,NA
"146","Nagaland",0,0,"2010",NA,NA
"147","Nagaland",0,0,"2011",NA,NA
"148","Nagaland",0,0,"2012",NA,NA
"149","Nagaland",0,0,"2013",NA,NA
"150","Nagaland",0,0,"2014",NA,NA
"151","Nagaland",0,0,"2015",NA,NA
"152","Nagaland",0,0,"2016",NA,NA
"153","Odisha",71.88,1709,"2009",NA,23.7757373400111
"154","Odisha",71.88,1710,"2010",0.0585137507314219,23.7896494156928
"155","Odisha",71.88,1455,"2011",-14.9122807017544,20.2420701168614
"156","Odisha",71.88,2265,"2012",55.6701030927835,31.5108514190317
"157","Odisha",71.88,2592,"2013",14.4370860927152,36.0601001669449
"158","Odisha",71.88,1657,"2014",-36.0725308641975,23.0523094045632
"159","Odisha",71.88,1823,"2015",10.0181050090525,25.361713967724
"160","Odisha",71.88,1796,"2016",-1.48107515085025,24.9860879243183
"161","Punjab",88.6,108,"2009",NA,1.21896162528217
"162","Punjab",88.6,115,"2010",6.48148148148148,1.2979683972912
"163","Punjab",88.6,90,"2011",-21.7391304347826,1.01580135440181
"164","Punjab",88.6,71,"2012",-21.1111111111111,0.801354401805869
"165","Punjab",88.6,126,"2013",77.4647887323944,1.42212189616253
"166","Punjab",88.6,123,"2014",-2.38095238095238,1.3882618510158
"167","Punjab",88.6,147,"2015",19.5121951219512,1.65914221218962
"168","Punjab",88.6,132,"2016",-10.2040816326531,1.48984198645598
"169","Rajasthan",122.22,4985,"2009",NA,40.7871052200949
"170","Rajasthan",122.22,4979,"2010",-0.120361083249749,40.7380134184258
"171","Rajasthan",122.22,5182,"2011",4.07712392046596,42.3989527082311
"172","Rajasthan",122.22,5559,"2012",7.27518332690081,45.4835542464408
