"","murder","attempt_to_murder","culpable_homicide","rape","kidnapping_abduction","dacoity","preparation_of_dacoity","crimes_against_SC"
"1",2449,1859,134,1188,1958,102,27,4504
"2",2538,1953,155,1362,2053,134,2,4321
"3",2808,2229,171,1442,2154,126,7,4016
"4",2717,2183,158,1341,1870,131,1,3057
"5",2484,2249,170,1635,2119,125,5,3270
"6",2483,2602,175,1940,2218,134,2,3540
"7",2287,2880,208,2132,1961,91,13,3556
"8",59,33,5,59,62,20,0,3864
"9",75,34,3,47,67,15,0,0
"10",65,29,2,42,93,13,0,0
"11",73,29,1,46,82,20,0,0
"12",69,36,3,75,142,24,0,0
"13",86,48,4,83,146,12,0,0
"14",57,53,5,71,175,10,2,0
"15",1323,417,35,1631,2718,251,21,0
"16",1223,431,46,1721,3250,248,12,0
"17",1303,504,48,1700,3764,305,4,0
"18",1368,670,54,1716,3812,266,7,7
"19",1354,579,54,1937,4801,246,9,0
"20",1451,1142,57,1980,4823,267,20,4
"21",1343,1044,91,1733,5831,191,12,8
"22",3152,3068,243,929,3222,654,64,2
"23",3362,2915,344,795,3674,644,46,5
"24",3198,3327,348,934,4268,556,105,4
"25",3566,5452,285,927,4807,540,54,3836
"26",3441,3889,259,1128,5570,579,53,3516
"27",3403,4379,201,1127,6570,538,56,3623
"28",3178,5981,121,1041,7128,426,59,4821
"29",1083,732,19,976,286,134,16,6721
"30",1065,756,30,1012,359,122,15,7886
"31",1110,747,28,1053,472,68,7,6367
"32",998,593,26,1034,450,64,4,5701
"33",945,647,24,1380,2235,47,5,466
"34",998,716,29,1436,2014,58,6,340
"35",929,726,32,1560,2083,106,10,253
"36",53,24,11,47,33,4,0,262
"37",35,27,3,36,25,2,0,242
"38",48,22,6,29,28,2,0,359
"39",45,35,3,55,24,6,0,216
"40",36,48,2,86,108,11,0,243
"41",34,42,6,95,152,13,0,3
"42",31,25,7,86,112,4,2,1
"43",1020,468,30,433,1348,246,11,4
"44",1048,462,44,408,1447,186,18,10
"45",1126,478,43,439,1614,221,24,12
